Test Mode,Parameter Value,Total Time(sec),Number of Events,Events/Sec
fileio,seqwr,,10.0100,259433,25917.3826
fileio,seqwr,,10.0080,249996,24979.6163
fileio,seqwr,,10.0062,258543,25838.2802
fileio,seqwr,,10.0085,262567,26234.4007
fileio,seqwr,,10.0066,274730,27454.8797
fileio,seqwr,,10.0078,247744,24755.0910
fileio,rndwr,,10.0127,185704,18546.8455
fileio,rndwr,,10.0089,190997,19082.7163
fileio,rndwr,,10.0093,172095,17193.5100
fileio,rndwr,,10.0102,175680,17550.0988
fileio,rndwr,,10.0090,174572,17441.5026
fileio,rndrw,,10.0074,229731,22956.1124
fileio,rndrw,,10.0061,231413,23127.1924
fileio,rndrw,,10.0099,234713,23448.0863
fileio,rndrw,,10.0064,242071,24191.6173
fileio,rndrw,,10.0078,229082,22890.3455
fileio,rndrw,,10.0085,231528,23133.1368
