Test Mode,Parameter Value,Total Time(sec),Number of Events,Events/Sec
fileio,seqwr,,10.0051,382492,38229.7028
fileio,seqwr,,10.0038,397319,39716.8076
fileio,seqwr,,10.0036,383451,38331.3007
fileio,seqwr,,10.0036,408101,40795.4136
fileio,seqwr,,10.0045,367438,36727.2727
fileio,rndwr,,10.0059,269661,26950.1993
fileio,rndwr,,10.0074,262539,26234.4864
fileio,rndwr,,10.0064,258459,25829.3692
fileio,rndwr,,10.0108,243377,24311.4436
fileio,rndwr,,10.0074,254788,25459.9596
fileio,rndrw,,10.0042,352361,35221.3070
fileio,rndrw,,10.0037,369786,36964.9229
fileio,rndrw,,10.0049,366904,36672.4305
fileio,rndrw,,10.0045,355022,35486.2311
fileio,rndrw,,10.0049,381621,38143.4097
fileio,rndrw,,10.0050,373963,37377.6111
fileio,rndrw,,10.0048,360407,36023.4087
fileio,rndrw,,10.0053,375854,37565.4902
