Test Mode,Parameter Value,Total Time(sec),Number of Events,Events/Sec
fileio,seqwr,,10.0041,364159,36400.9756
fileio,seqwr,,10.0044,373825,37366.0589
fileio,seqwr,,10.0039,385987,38583.6523
fileio,seqwr,,10.0036,368855,36872.2259
fileio,seqwr,,10.0036,349955,34982.9061
fileio,seqwr,,10.0035,380749,38061.5784
fileio,rndwr,,10.0067,247058,24689.2581
fileio,rndwr,,10.0078,253644,25344.6311
fileio,rndwr,,10.0072,255704,25552.0025
fileio,rndwr,,10.0057,246621,24648.0506
fileio,rndwr,,10.0054,251424,25128.8304
fileio,rndrw,,10.0053,340258,34007.7758
fileio,rndrw,,10.0046,330076,32992.4234
fileio,rndrw,,10.0045,314831,31468.9389
fileio,rndrw,,10.0052,325039,32487.0067
fileio,rndrw,,10.0048,299063,29891.9518
