Test Mode,Parameter Value,Total Time(sec),Number of Events,Events/Sec
fileio,seqwr,,10.0042,411649,41147.6180
fileio,seqwr,,10.0037,411030,41087.7975
fileio,seqwr,,10.0032,434320,43418.1062
fileio,seqwr,,10.0145,399558,39897.9479
fileio,seqwr,,10.0046,410092,40990.3444
fileio,rndwr,,10.0080,255233,25502.8976
fileio,rndwr,,10.0071,251831,25165.2326
fileio,rndwr,,10.0068,251842,25167.0863
fileio,rndwr,,10.0034,245555,24547.1539
fileio,rndwr,,10.0071,261185,26099.9690
fileio,rndrw,,10.0056,343272,34307.9875
fileio,rndrw,,10.0038,333320,33319.3386
fileio,rndrw,,10.0042,340640,34049.6991
fileio,rndrw,,10.0060,329334,32913.6518
fileio,rndrw,,10.0054,310998,31083.0151
