Test Mode,Parameter Value,Total Time(sec),Number of Events,Events/Sec
fileio,seqwr,,10.0087,247092,24687.7216
fileio,seqwr,,10.0048,277978,27784.4634
fileio,seqwr,,10.0042,311554,31142.3202
fileio,seqwr,,10.0100,284995,28471.0289
fileio,seqwr,,10.0047,260780,26065.7490
fileio,rndwr,,10.0076,191421,19127.5630
fileio,rndwr,,10.0067,173680,17356.3712
fileio,rndwr,,10.0080,178457,17831.4348
fileio,rndwr,,10.0075,192849,19270.4471
fileio,rndwr,,10.0103,193483,19328.3917
fileio,rndrw,,10.0075,186640,18650.0124
fileio,rndrw,,10.0071,195350,19521.1399
fileio,rndrw,,10.0060,204574,20445.1329
fileio,rndrw,,10.0048,185760,18567.0877
fileio,rndrw,,10.0049,191209,19111.5353
fileio,rndrw,,10.0082,177957,17781.1194
