Test Mode,Parameter Value,Total Time(sec),Number of Events,Events/Sec
fileio,seqwr,,10.0066,243255,24309.4557
fileio,seqwr,,10.0086,256694,25647.3432
fileio,seqwr,,10.0092,258451,25821.3443
fileio,seqwr,,10.0094,234971,23475.0334
fileio,seqwr,,10.0069,247776,24760.5152
fileio,rndwr,,10.0075,172326,17219.6852
fileio,rndwr,,10.0056,170085,16998.9805
fileio,rndwr,,10.0068,178533,17841.1680
fileio,rndwr,,10.0087,179465,17930.9001
fileio,rndwr,,10.0113,174538,17434.0994
fileio,rndrw,,10.0093,185242,18506.9885
fileio,rndrw,,10.0064,188541,18842.0410
fileio,rndrw,,10.0102,184781,18459.2715
fileio,rndrw,,10.0065,177111,17699.5952
fileio,rndrw,,10.0069,180658,18053.3431
