Test Mode,Parameter Value,Total Time(sec),Number of Events,Events/Sec
fileio,seqwr,,10.0073,281784,28157.8447
fileio,seqwr,,10.0054,302323,30215.9833
fileio,seqwr,,10.0111,279015,27870.5636
fileio,seqwr,,10.0036,299318,29921.0284
fileio,seqwr,,10.0081,290150,28991.5168
fileio,rndwr,,10.0093,197118,19693.4850
fileio,rndwr,,10.0094,188927,18874.9575
fileio,rndwr,,10.0098,185725,18554.3167
fileio,rndwr,,10.0082,190532,19037.5891
fileio,rndwr,,10.0074,198262,19811.5394
fileio,rndrw,,10.0085,202532,20235.9994
fileio,rndrw,,10.0067,197711,19757.8622
fileio,rndrw,,10.0049,189379,18928.6249
fileio,rndrw,,10.0055,206675,20656.1391
fileio,rndrw,,10.0064,194126,19400.1838
